FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
4,-0.41,1.03,0.11,0.04,1.18,-0.07,1,-0.06,0.21,-72.66,15.39,-6.43
4,-0.44,1.1,0.09,0.09,1.25,-0.06,1,-0.06,0.24,-79.3,14.85,-9.73
4,-0.45,1.15,0.06,0.12,1.26,-0.04,0.98,-0.09,0.25,-88.64,10.28,-13.24
4,-0.42,1.16,0.03,0.15,1.26,-0.03,0.98,-0.08,0.23,-96.87,5.35,-16.69
4,-0.38,1.22,0.05,0.23,1.34,0,1.01,-0.09,0.25,-103.37,1.06,-20.22
4,-0.32,1.26,0.05,0.23,1.32,0.02,1.03,-0.07,0.24,-113.34,-1.17,-24.56
4,-0.29,1.25,0.02,0.27,1.29,0.03,0.99,-0.1,0.2,-123.18,-3.55,-27.4
4,-0.3,1.19,-0.03,0.27,1.24,0.05,0.99,-0.04,0.2,-131.05,-8.18,-31
4,-0.26,1.21,0,0.35,1.26,0.08,1.06,-0.1,0.17,-139.08,-11.15,-33.98
4,-0.26,1.18,0,0.35,1.25,0.06,1.01,-0.12,0.19,-144.63,-12.21,-37.4
4,-0.32,1.21,0.03,0.38,1.29,0.06,1.01,-0.15,0.14,-148.44,-14.95,-39.91
4,-0.35,1.19,-0.01,0.35,1.24,0.02,1.04,-0.13,0.14,-150.79,-18.34,-41.73
4,-0.33,1.21,-0.04,0.38,1.25,0.02,1.07,-0.1,0.11,-154.1,-19.53,-42.36
4,-0.3,1.22,-0.01,0.36,1.26,0.03,1.11,-0.1,0.09,-158.62,-19.78,-42
4,-0.29,1.18,-0.03,0.36,1.22,0,1.1,-0.13,0.11,-161.12,-17.89,-41.63
4,-0.28,1.13,-0.06,0.41,1.22,-0.04,1.07,-0.12,0.09,-162.69,-17.72,-41.04
4,-0.23,1.15,-0.04,0.44,1.19,-0.06,1.04,-0.08,0.1,-163.86,-18.78,-39.11
4,-0.25,1.12,-0.06,0.44,1.21,-0.09,1.06,-0.04,0.08,-166.51,-20,-35.82
4,-0.26,1.15,-0.04,0.48,1.25,-0.1,1.12,-0.03,0.07,-168.03,-18.82,-32.15
4,-0.33,1.12,-0.07,0.48,1.25,-0.1,1.02,0.08,0.17,-172.09,-17.77,-27.88
4,-0.3,1.13,-0.09,0.51,1.28,-0.12,1.12,-0.01,0.12,-169.5,-20.4,-25.67
4,-0.28,1.19,-0.06,0.54,1.35,-0.1,1.13,0.07,0.13,-168.62,-21.6,-24.24
4,-0.28,1.19,-0.07,0.52,1.31,-0.09,1.03,0.13,0.11,-172.65,-24.4,-20.44
4,-0.2,1.22,0.02,0.57,1.34,0,0.96,0.08,0.09,-175.64,-29.88,-15
4,-0.22,1.13,0,0.51,1.25,-0.07,0.98,-0.01,0.08,-174.4,-32.46,-8.75
4,-0.23,1.07,0.03,0.49,1.19,-0.12,0.97,-0.05,0.06,-168.98,-31.02,-4.54
4,-0.22,1.09,0.08,0.54,1.18,-0.07,0.91,0.03,0.07,-161.56,-27.08,-3.86
4,-0.25,1.01,0.05,0.49,1.09,-0.06,0.85,0.08,0.07,-159.82,-26.62,-5.85
4,-0.25,1.01,0.02,0.49,1.06,0,0.92,0.05,0.03,-157.29,-28.21,-9.35
4,-0.22,1.1,-0.04,0.45,1.13,-0.04,1.15,0.09,0.01,-155.11,-25.37,-13.79
4,-0.19,1.25,-0.09,0.48,1.24,-0.15,1.27,0.15,0.01,-158.41,-17.71,-16.73
4,-0.26,1.34,-0.13,0.48,1.29,-0.25,1.26,0.18,0.04,-161.55,-9.3,-18.67
4,-0.25,1.4,-0.09,0.51,1.31,-0.26,1.18,0.16,0.05,-162.34,-3.56,-21.02
4,-0.26,1.38,-0.07,0.48,1.24,-0.28,1.1,0.17,0.08,-165.21,-2.66,-24.99
4,-0.25,1.29,-0.06,0.49,1.16,-0.29,1.01,0.21,0.06,-170.81,-7.1,-27.47
4,-0.25,1.25,-0.06,0.47,1.19,-0.28,0.97,0.24,0.01,-179.15,-11.5,-28
4,-0.35,1.16,-0.15,0.42,1.21,-0.25,0.92,0.28,0,-190.21,-16.55,-26.64
4,-0.3,1.13,-0.15,0.47,1.21,-0.23,0.94,0.27,-0.1,-201.56,-20.89,-24.63
4,-0.36,1.06,-0.22,0.47,1.18,-0.28,1.02,0.24,-0.16,-211.73,-19.85,-23.41
4,-0.3,1.13,-0.19,0.45,1.22,-0.31,1.08,0.23,-0.17,-221.95,-16.49,-23.29
4,-0.3,1.12,-0.26,0.47,1.25,-0.38,1.09,0.2,-0.19,-230.5,-13.33,-22.03
4,-0.26,1.15,-0.28,0.45,1.25,-0.37,1.08,0.17,-0.19,-238.09,-11.82,-18.92
4,-0.22,1.21,-0.25,0.48,1.25,-0.29,1.11,0.09,-0.17,-241.3,-11.24,-14.55
4,-0.22,1.21,-0.22,0.48,1.21,-0.29,1.17,0.02,-0.15,-239.83,-8.69,-12.7
4,-0.25,1.25,-0.26,0.48,1.22,-0.29,1.16,0.01,-0.11,-237.91,-5.79,-12.76
4,-0.23,1.24,-0.26,0.54,1.26,-0.28,1.06,0.04,-0.12,-239.93,-7.17,-13.37
4,-0.26,1.18,-0.29,0.49,1.18,-0.32,0.98,0.05,-0.12,-242.19,-9.86,-13.47
4,-0.28,1.13,-0.32,0.49,1.16,-0.31,1,0.07,-0.16,-245.67,-10.61,-13.19
4,-0.25,1.13,-0.32,0.55,1.21,-0.26,1.03,0.07,-0.18,-250.14,-8.12,-11.36
4,-0.28,1.04,-0.41,0.49,1.18,-0.32,1.06,0.04,-0.25,-250.14,-1.04,-7.38
4,-0.25,1.06,-0.38,0.54,1.21,-0.35,1.06,-0.08,-0.23,-250.14,10.42,-3.47
4,-0.28,1.03,-0.41,0.57,1.21,-0.38,1.01,-0.17,-0.11,-250.14,20.66,-5.24
4,-0.29,1.07,-0.43,0.52,1.24,-0.38,1.02,-0.26,0.03,-250.14,22.76,-9.73
4,-0.28,1.15,-0.49,0.51,1.28,-0.41,1.1,-0.33,0.1,-241.34,21.47,-14.71
4,-0.33,1.22,-0.56,0.47,1.28,-0.44,1.12,-0.36,0.14,-231.21,22.54,-17.64
4,-0.36,1.31,-0.5,0.47,1.26,-0.4,1.02,-0.39,0.18,-223.07,20.89,-17.02
4,-0.44,1.28,-0.46,0.42,1.16,-0.4,0.89,-0.44,0.22,-212.1,14.43,-14.88
4,-0.38,1.26,-0.43,0.45,1.04,-0.4,0.86,-0.57,0.19,-194.03,8.78,-15.66
4,-0.39,1.21,-0.46,0.44,0.94,-0.46,0.89,-0.52,0.22,-174.39,4.21,-20.98
4,-0.32,1.26,-0.44,0.51,0.97,-0.44,1.1,-0.37,0.22,-160.71,1.44,-27.98
4,-0.26,1.4,-0.41,0.58,1.1,-0.38,1.27,-0.18,0.13,-160.14,2.57,-33.27
4,-0.28,1.43,-0.41,0.57,1.09,-0.4,1.3,-0.04,0.18,-171.32,2.86,-34.45
4,-0.33,1.44,-0.38,0.66,1.22,-0.32,1.1,-0.1,0.12,-183.13,-1.24,-35.82
4,-0.35,1.35,-0.31,0.67,1.26,-0.28,1,-0.13,0.11,-189.75,-7.02,-38.71
4,-0.38,1.22,-0.25,0.58,1.19,-0.29,0.99,-0.15,0.07,-192.02,-11.37,-41.47
4,-0.45,1.22,-0.25,0.55,1.22,-0.18,1.03,-0.12,0.05,-191.85,-12.43,-42.49
4,-0.65,1.13,-0.34,0.47,1.22,-0.1,1.05,-0.15,0.05,-192.16,-12.59,-42.63
