FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
1,-1.37,-0.47,0.28,1.9,-0.32,0.37,1.06,-0.03,0.1,5.99,1.03,-0.55
1,-1.68,-0.45,0.27,2.17,-0.3,0.42,1.07,-0.05,0.08,7.21,2.65,-1.15
1,-1.79,-0.5,0.18,2.09,-0.41,0.36,1.06,-0.04,0.07,7.43,5.35,-0.75
1,-1.95,-0.57,0.18,2.06,-0.53,0.3,1.04,-0.01,0.12,7.58,5.95,-0.49
1,-1.95,-0.66,0.17,1.98,-0.63,0.25,1.01,0.01,0.14,7.05,4.59,-0.4
1,-1.71,-0.7,0.25,1.9,-0.68,0.34,0.98,0.02,0.16,6.11,2.58,-0.6
1,-1.53,-0.75,0.28,1.69,-0.7,0.37,1,0.01,0.16,4.59,0.42,-0.53
1,-1.28,-0.68,0.31,1.49,-0.7,0.33,1.02,0,0.15,3.43,-0.86,-0.98
1,-1.13,-0.69,0.33,1.32,-0.69,0.3,1.05,0.01,0.13,2.05,-2.21,-1.29
1,-0.97,-0.66,0.3,1.13,-0.62,0.31,1.06,0,0.14,0.34,-3.91,-1.3
1,-0.79,-0.65,0.3,1.01,-0.5,0.37,1.05,-0.01,0.14,-0.29,-5.05,-1.05
1,-0.72,-0.59,0.37,0.85,-0.42,0.42,1.04,-0.03,0.14,0.11,-5.21,-0.61
1,-0.62,-0.45,0.45,0.76,-0.33,0.42,1.03,-0.02,0.11,1.05,-5.18,-0.4
1,-0.42,-0.38,0.48,0.69,-0.26,0.42,1.03,0,0.1,1.06,-5.28,0.01
1,-0.33,-0.41,0.39,0.51,-0.28,0.37,1.02,0.02,0.1,0.24,-5.91,0.2
1,-0.23,-0.35,0.39,0.39,-0.2,0.4,1.02,0,0.11,-0.53,-6.68,0.5
1,-0.36,-0.3,0.36,0.26,-0.23,0.37,1.03,-0.01,0.1,-0.63,-6.52,0.13
1,-0.16,-0.26,0.49,0.14,-0.14,0.45,1.04,0,0.11,-0.94,-6.14,-0.16
1,-0.01,-0.26,0.52,0.05,-0.08,0.52,1.04,0.04,0.09,-3.14,-6.57,0.13
1,0.09,-0.26,0.46,-0.04,-0.04,0.55,1.03,0.01,0.09,-2.74,-7.88,1.31
1,0.05,-0.23,0.6,-0.22,-0.13,0.42,1.05,-0.06,0.08,-0.02,-5.24,1.34
1,0.18,-0.11,0.74,-0.29,-0.08,0.52,1.04,0,0.05,-0.28,-3.94,1
1,0.33,-0.22,0.65,-0.48,-0.04,0.61,1.04,0.01,0.08,-1.61,-4.57,2.01
1,0.45,-0.16,0.85,-0.59,-0.01,0.67,1.06,-0.04,0.09,1.7,-2.01,2.69
1,0.58,-0.04,0.98,-0.7,-0.07,0.62,1.06,-0.03,0.01,1.77,-1.84,1.96
1,0.61,-0.13,0.85,-0.82,0.01,0.8,1.04,0.01,0.08,0.58,-1.56,2.11
1,0.67,-0.14,0.99,-0.88,0.09,0.91,1.05,-0.03,0.1,3.2,0.25,2.57
1,0.75,0.02,1.26,-1.05,0.08,1.01,1.05,-0.02,0.02,3.47,1.31,2.84
1,0.85,0.15,1.56,-1.21,0.18,1.2,1.07,-0.02,0.03,3.44,2.83,3.07
1,0.94,0.18,1.63,-1.4,0.17,1.19,1.08,-0.02,0.03,3.56,4.69,3.15
1,1.21,0.21,1.63,-1.49,0.21,1.19,1.07,-0.01,0.05,2.94,5.71,3.21
1,1.29,0.09,1.48,-1.52,0.15,1.1,1.06,-0.01,0.07,2.03,5.55,2.73
1,1.49,0.08,1.37,-1.5,0.11,1.05,1.03,-0.02,0.08,1.31,3.16,2.09
1,1.47,0.02,1.26,-1.43,0.07,0.99,1.02,-0.02,0.1,0.98,1.85,1.35
1,1.37,0.01,1.25,-1.24,0.05,0.94,1.02,-0.02,0.08,0.53,0.18,0.98
1,1.21,-0.01,1.2,-1.08,0.04,0.85,1.04,-0.01,0.1,-0.29,-0.72,1.09
1,1.04,-0.05,1.08,-0.91,-0.02,0.74,1.04,-0.03,0.1,-0.64,-1.85,1.02
1,0.94,-0.07,0.98,-0.75,-0.02,0.73,1.04,-0.03,0.09,-0.52,-2.07,0.53
1,0.79,-0.14,0.79,-0.63,-0.07,0.68,1.04,-0.02,0.08,-0.07,-1.85,0.18
1,0.76,-0.11,0.74,-0.53,-0.05,0.7,1.04,-0.04,0.07,0.51,-1.24,-0.17
1,0.61,-0.2,0.61,-0.47,-0.1,0.65,1.04,-0.03,0.08,0.6,0.04,-0.68
1,0.52,-0.22,0.58,-0.39,-0.1,0.64,1.04,-0.02,0.06,1.01,1.56,-0.47
1,0.47,-0.22,0.57,-0.32,-0.13,0.57,1.06,-0.02,0.08,1.02,2.96,-0.25
1,0.33,-0.29,0.51,-0.33,-0.17,0.52,1.05,-0.02,0.08,1.11,3.18,0.08
1,0.29,-0.25,0.54,-0.26,-0.11,0.6,1.04,-0.02,0.09,1.08,3.13,0.35
1,0.17,-0.29,0.46,-0.25,-0.16,0.55,1.02,-0.02,0.1,1.18,2.74,0.09
1,0.14,-0.32,0.46,-0.13,-0.14,0.57,1.03,-0.02,0.1,1.72,2.89,0.24
1,0.01,-0.26,0.45,0.04,-0.11,0.58,1.04,-0.02,0.09,2.21,2.56,0.06
1,-0.19,-0.28,0.42,0.2,-0.11,0.58,1.04,-0.03,0.11,2.47,2.04,0.08
1,-0.42,-0.32,0.39,0.44,-0.13,0.55,1.05,-0.04,0.12,3.96,2.9,-0.53
1,-0.45,-0.3,0.51,0.88,-0.16,0.58,1.05,-0.02,0.09,4.28,2.87,-0.86
1,-0.54,-0.32,0.45,1.22,-0.29,0.52,1.04,-0.02,0.08,3.87,2.65,-1.25
1,-1.03,-0.33,0.4,1.44,-0.28,0.48,1.04,-0.01,0.11,3.25,2.57,-0.91
1,-1.12,-0.42,0.42,1.46,-0.33,0.43,1.04,-0.03,0.08,2.53,2.47,-1.05
1,-1.28,-0.32,0.52,1.72,-0.32,0.46,1.07,-0.04,0.04,1.66,4.8,-1.34
1,-1.62,-0.32,0.55,1.98,-0.3,0.57,1.08,-0.03,0.05,1.67,7.45,-1.12
1,-1.83,-0.45,0.46,2.06,-0.44,0.43,1.08,-0.02,0.1,2.39,9.18,-0.56
1,-1.85,-0.48,0.55,2.02,-0.57,0.43,1.04,-0.05,0.14,4,10.15,-0.29
1,-1.96,-0.56,0.52,1.75,-0.69,0.36,0.99,0,0.17,4.95,7.98,-0.04
1,-1.82,-0.59,0.49,1.55,-0.72,0.39,0.98,0,0.19,5.76,6.19,0.75
1,-1.58,-0.62,0.49,1.38,-0.72,0.43,0.99,-0.01,0.18,6.24,4.76,0.92
1,-1.42,-0.66,0.45,1.22,-0.75,0.42,1,-0.02,0.18,6.6,4.51,0.11
1,-1.22,-0.59,0.51,1.13,-0.69,0.49,1.03,0.02,0.17,6.11,2.18,0.05
1,-1.05,-0.6,0.46,1,-0.68,0.48,1.03,0.02,0.17,4.82,-0.7,0.63
1,-0.96,-0.54,0.46,0.97,-0.56,0.51,1.03,0,0.16,3.71,-2.28,1.41
1,-0.88,-0.48,0.43,0.92,-0.5,0.49,1.04,-0.01,0.14,3.25,-3.26,1.52
1,-0.65,-0.41,0.46,0.79,-0.41,0.49,1.04,-0.02,0.13,3.49,-2.08,1.44
1,-0.45,-0.39,0.46,0.66,-0.33,0.52,1.04,-0.01,0.11,3.18,-2.91,1.43
1,-0.36,-0.36,0.39,0.54,-0.3,0.51,1.03,-0.01,0.09,2.67,-2.56,1.31
1,-0.33,-0.33,0.39,0.41,-0.32,0.48,1.03,-0.02,0.11,2.47,-2.73,0.55
1,-0.3,-0.3,0.45,0.38,-0.28,0.52,1.02,0.01,0.12,1.8,-2.95,0.17
1,-0.25,-0.26,0.51,0.27,-0.25,0.51,1.03,0,0.11,0.92,-1.95,0.24
1,-0.01,-0.22,0.62,0.2,-0.14,0.6,1.04,0.01,0.11,-0.79,-2.74,0.92
1,0.09,-0.22,0.6,0.01,-0.16,0.6,1.04,0,0.1,-3.19,-4.77,1.31
1,0.07,-0.25,0.57,-0.04,-0.07,0.6,1.04,-0.01,0.14,-3.49,-5.16,1.7
1,-0.02,-0.23,0.7,-0.13,-0.17,0.58,1.04,-0.04,0.12,-2.53,-3.06,1.05
1,0.24,-0.13,0.85,-0.22,-0.07,0.61,1.04,0,0.08,-3.57,-3.5,1.51
1,0.41,-0.2,0.76,-0.44,-0.08,0.68,1.03,0,0.11,-4.63,-4.27,1.81
1,0.47,-0.22,0.86,-0.68,-0.11,0.7,1.04,-0.05,0.16,-1.49,-2.44,1.17
1,0.52,-0.01,1.11,-0.72,0.01,0.82,1.04,-0.03,0.05,-1.46,-1.94,-0.1
1,0.63,-0.11,0.99,-0.91,-0.02,0.76,1.05,-0.01,0.08,-2.6,-2.02,0.55
1,0.94,-0.13,1.01,-1.02,-0.01,0.74,1.05,-0.02,0.12,-1.08,-0.56,1.31
1,1.09,0.01,1.22,-1.12,0.07,0.92,1.06,-0.02,0.06,-1.92,-0.14,1.86
1,1.21,0.08,1.42,-1.37,0.17,1.05,1.09,-0.05,0.03,-0.09,1.31,1.96
1,1.32,0.07,1.38,-1.56,0.11,1.01,1.08,-0.03,0.06,0.05,4.06,1.85
1,1.59,0.01,1.28,-1.53,0.09,0.91,1.08,-0.03,0.09,0.22,5.97,1.46
1,1.59,-0.07,1.13,-1.49,0.04,0.82,1.03,-0.03,0.1,-0.22,2.7,2.01
1,1.49,-0.08,1.05,-1.34,0.01,0.79,1.02,-0.04,0.13,-0.09,1.59,1.99
1,1.35,-0.04,1.02,-1.18,0.04,0.77,1.03,-0.03,0.12,-1.27,-0.21,1.6
1,1.21,-0.07,0.88,-0.97,-0.02,0.68,1.03,-0.03,0.11,-1.37,-1.63,0.6
1,1.01,-0.13,0.74,-0.87,0.01,0.67,1.03,-0.03,0.1,-1.66,-2.13,0.05
1,0.92,-0.14,0.68,-0.78,-0.04,0.61,1.04,-0.04,0.09,-2.27,-1.44,-0.08
1,0.82,-0.16,0.62,-0.69,-0.05,0.54,1.05,-0.03,0.1,-1.64,-0.55,0.05
