FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
7,-0.11,1.21,0.21,0.35,1.12,0.22,1.02,-0.04,0.26,2.53,-0.24,1.02
7,-0.08,1.24,0.24,0.36,1.15,0.24,1.03,-0.04,0.26,2.56,0.04,1.17
7,-0.08,1.24,0.24,0.36,1.15,0.25,1.02,-0.04,0.26,2.52,0.02,1.07
7,-0.08,1.25,0.28,0.38,1.15,0.24,1.02,-0.04,0.26,2.52,0.33,0.93
7,-0.07,1.26,0.28,0.39,1.18,0.3,1.02,-0.04,0.26,2.27,0.58,0.95
7,-0.07,1.24,0.25,0.36,1.15,0.25,1.03,-0.04,0.27,2.18,0.99,0.96
7,-0.02,1.31,0.3,0.42,1.21,0.3,1.03,-0.04,0.27,2.34,1.45,1.08
7,-0.08,1.25,0.28,0.42,1.18,0.24,1.02,-0.04,0.27,2.21,1.48,1.05
7,-0.04,1.26,0.28,0.44,1.18,0.25,1.02,-0.04,0.27,2.05,1.56,1.22
7,-0.04,1.28,0.3,0.41,1.21,0.28,1.02,-0.04,0.29,2.11,1.24,1.23
7,-0.08,1.25,0.25,0.38,1.16,0.24,1.02,-0.04,0.26,2.4,1.08,1.12
7,-0.02,1.32,0.3,0.42,1.24,0.31,1.02,-0.04,0.28,2.6,0.86,1.18
7,-0.05,1.28,0.28,0.39,1.21,0.28,1.01,-0.04,0.28,2.78,0.32,1.42
7,-0.07,1.25,0.25,0.38,1.16,0.25,1,-0.04,0.27,2.46,-0.16,1.66
7,-0.04,1.28,0.28,0.42,1.19,0.28,1.01,-0.05,0.29,2.46,-0.16,1.33
7,-0.08,1.24,0.25,0.38,1.15,0.25,1.03,-0.04,0.28,2.47,-0.11,1.16
7,-0.04,1.28,0.27,0.39,1.18,0.3,1.02,-0.05,0.28,2.05,-0.1,1.04
7,-0.07,1.28,0.28,0.42,1.21,0.3,1.01,-0.04,0.27,1.96,-0.26,1.23
7,-0.08,1.24,0.25,0.36,1.16,0.25,1.01,-0.04,0.28,1.96,-0.28,1.33
7,-0.04,1.28,0.28,0.41,1.22,0.3,1.02,-0.05,0.28,1.47,-0.21,1.27
7,-0.02,1.29,0.3,0.44,1.22,0.3,1.02,-0.05,0.27,1.6,-0.41,0.84
7,-0.08,1.24,0.25,0.36,1.15,0.24,1.01,-0.04,0.28,1.21,-0.38,0.83
7,-0.02,1.31,0.31,0.44,1.24,0.31,1.01,-0.05,0.29,1.33,-0.52,0.78
7,-0.02,1.29,0.3,0.44,1.24,0.31,1.02,-0.05,0.29,1.27,-0.97,0.72
7,-0.04,1.29,0.3,0.41,1.24,0.28,1.02,-0.05,0.27,1.69,-1.21,0.66
7,-0.02,1.32,0.3,0.39,1.21,0.28,1.02,-0.04,0.29,1.72,-1.82,0.44
7,-0.02,1.34,0.33,0.42,1.22,0.3,1.02,-0.05,0.28,1.95,-1.82,0.33
7,-0.05,1.29,0.28,0.41,1.22,0.31,1.01,-0.05,0.28,2.02,-2.05,0.19
7,-0.01,1.32,0.33,0.45,1.24,0.31,1.02,-0.05,0.28,2.21,-1.98,0.2
7,-0.01,1.32,0.33,0.45,1.24,0.3,1.01,-0.05,0.28,2.6,-1.85,-0.08
7,-0.05,1.28,0.27,0.41,1.21,0.31,1.02,-0.04,0.27,2.63,-1.66,-0.16
7,-0.01,1.31,0.3,0.44,1.21,0.28,1.02,-0.05,0.27,2.91,-1.39,-0.29
7,-0.04,1.29,0.28,0.42,1.21,0.27,1.03,-0.05,0.26,2.77,-0.89,-0.07
7,-0.07,1.25,0.24,0.38,1.19,0.28,1.02,-0.03,0.26,2.31,-0.78,-0.18
7,-0.02,1.29,0.27,0.42,1.21,0.3,1.03,-0.04,0.28,1.98,-0.29,-0.34
7,-0.02,1.29,0.28,0.41,1.21,0.27,1.02,-0.04,0.27,2.06,-0.3,-0.56
7,-0.07,1.24,0.24,0.38,1.16,0.24,1.03,-0.04,0.25,1.82,-0.05,-0.34
7,-0.01,1.28,0.27,0.39,1.19,0.27,1.04,-0.04,0.27,1.21,0.63,-0.19
7,-0.02,1.31,0.28,0.39,1.19,0.28,1.04,-0.04,0.26,0.9,1.31,-0.4
7,-0.07,1.24,0.24,0.36,1.16,0.25,1.03,-0.05,0.25,0.74,2.12,-0.79
7,-0.02,1.31,0.3,0.41,1.21,0.28,1.03,-0.06,0.25,0.26,2.32,-1.15
7,-0.04,1.29,0.27,0.39,1.21,0.3,1.04,-0.06,0.25,0.6,3.38,-0.76
7,-0.08,1.25,0.24,0.35,1.18,0.25,1.04,-0.06,0.23,-0.14,4.74,-0.85
7,-0.05,1.26,0.27,0.38,1.16,0.27,1.01,-0.06,0.22,-0.82,6,-1.18
7,-0.02,1.28,0.28,0.38,1.15,0.28,1.03,-0.06,0.2,-1.85,7.51,-1.73
7,-0.05,1.21,0.22,0.33,1.12,0.25,1.05,-0.06,0.18,-3.79,10.14,-1.53
7,-0.04,1.25,0.24,0.36,1.16,0.27,1.05,-0.07,0.18,-6.44,14.37,-1.54
7,-0.05,1.21,0.22,0.33,1.16,0.25,1.04,-0.08,0.17,-9.3,18.95,-2.4
7,-0.1,1.16,0.2,0.3,1.1,0.22,1.02,-0.09,0.14,-12.66,23.52,-3.89
7,-0.08,1.15,0.21,0.35,1.1,0.25,0.97,-0.09,0.13,-15.79,28.91,-4.63
7,-0.1,1.09,0.2,0.35,1.03,0.24,0.88,-0.13,0.16,-18.81,33.03,-4.11
7,-0.11,0.98,0.18,0.32,0.95,0.27,0.8,-0.16,0.16,-19.24,35.17,-3.52
7,-0.07,1.01,0.22,0.32,0.98,0.22,0.75,-0.19,0.14,-17.47,37.76,-2.84
7,-0.07,0.95,0.22,0.24,0.91,0.22,0.67,-0.18,0.14,-13.55,39.69,-2.55
7,-0.11,0.84,0.2,0.2,0.78,0.22,0.63,-0.12,0.11,-10.47,42.7,-2.15
7,-0.08,0.78,0.21,0.18,0.66,0.27,0.47,-0.07,0.2,-10.75,43.56,-2.26
7,-0.11,0.7,0.2,0.15,0.55,0.25,0.3,-0.09,0.29,-13.06,47.34,-2.95
7,-0.13,0.63,0.14,0.15,0.49,0.18,0.49,-0.05,0.22,-21.21,50.58,-4.56
