FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
6,0.21,-0.78,0.49,-0.2,-0.82,0.48,1.04,-0.03,0.14,2.98,-0.1,-0.11
6,0.27,-0.73,0.54,-0.16,-0.78,0.49,1.03,-0.02,0.13,2.47,0.02,-0.39
6,0.26,-0.73,0.54,-0.16,-0.76,0.51,1.04,-0.02,0.15,2.29,-0.15,-0.38
6,0.3,-0.7,0.58,-0.13,-0.75,0.55,1.04,-0.03,0.13,2.02,-0.18,-0.56
6,0.24,-0.73,0.57,-0.13,-0.76,0.52,1.03,-0.02,0.15,2.21,-0.17,-0.51
6,0.27,-0.69,0.55,-0.13,-0.73,0.54,1.03,-0.03,0.14,2.14,-0.45,-0.28
6,0.26,-0.68,0.55,-0.11,-0.75,0.54,1.04,-0.03,0.15,2.37,-0.44,-0.38
6,0.23,-0.69,0.52,-0.14,-0.76,0.51,1.04,-0.02,0.14,2.41,-0.32,-0.43
6,0.27,-0.65,0.6,-0.1,-0.73,0.55,1.04,-0.02,0.14,2.27,0.37,-0.37
6,0.21,-0.72,0.52,-0.14,-0.76,0.51,1.03,-0.02,0.15,2.44,0.39,-0.31
6,0.27,-0.68,0.58,-0.11,-0.73,0.57,1.04,-0.03,0.14,2.57,0.69,0.18
6,0.24,-0.7,0.57,-0.13,-0.78,0.57,1.04,-0.02,0.14,2.42,0.79,0.44
6,0.21,-0.76,0.57,-0.14,-0.81,0.55,1.03,-0.02,0.14,2.37,0.98,0.47
6,0.27,-0.73,0.62,-0.08,-0.81,0.64,1.04,-0.03,0.15,2.18,0.82,0.36
6,0.23,-0.81,0.64,-0.04,-0.87,0.64,1.04,-0.02,0.15,2.24,0.45,0.47
6,0.23,-0.82,0.67,-0.05,-0.88,0.7,1.06,-0.03,0.14,2.52,0.08,0.2
6,0.3,-0.75,0.76,-0.14,-0.88,0.82,1.07,-0.04,0.13,3.27,0.74,0.36
6,0.3,-0.79,0.73,-0.25,-0.88,0.73,1.07,-0.05,0.13,3.46,1.28,0.45
6,0.23,-0.78,0.65,-0.2,-0.88,0.64,1.04,-0.01,0.14,3.07,1.08,0.46
6,0.26,-0.76,0.58,-0.13,-0.85,0.48,1.03,-0.02,0.14,1.97,1.48,0.4
6,0.33,-0.82,0.4,-0.1,-0.88,0.25,1.03,-0.02,0.14,1.66,1.05,-0.08
6,0.3,-0.79,0.31,0.18,-0.75,0.24,1.02,-0.03,0.16,2.11,0.17,0.14
6,0.21,-0.63,0.46,0.23,-0.6,0.6,1.01,-0.05,0.19,2.81,0.2,0.69
6,0.15,-0.53,0.45,-0.2,-0.48,0.88,0.99,-0.01,0.21,3.18,-0.05,1.29
6,0.04,-0.47,0.6,-0.56,-0.38,0.97,1,0,0.23,2.56,-1.52,1.87
6,0.24,-0.5,0.64,-0.65,-0.39,0.91,1,-0.01,0.23,1.98,-1.86,2.4
6,0.51,-0.51,0.74,-0.48,-0.3,1.05,0.98,-0.03,0.21,2.64,-3.37,3.04
6,0.58,-0.47,0.88,-0.07,-0.2,1.19,1.05,-0.07,0.12,3.53,-1.36,2.2
6,-0.11,-0.45,0.68,0.54,-0.33,1.04,1.02,-0.03,0.12,3.79,-1.36,1.36
6,-0.85,-0.5,0.43,1.12,-0.63,0.51,1.05,-0.03,0.1,3.82,0.25,0.51
6,-0.53,-0.82,-0.29,1.47,-1.08,-0.41,1.08,-0.03,0.09,2.56,0.56,-0.24
6,0.67,-1.37,-0.8,0.87,-1.62,-1.42,1.11,-0.06,0.07,3.78,1.94,-0.69
6,2.17,-1.5,-0.44,-1.3,-1.48,-1.2,1.12,-0.06,0.05,6.15,3.53,-0.04
6,2.29,-0.53,1.38,-3.34,-0.33,1.38,1.12,-0.04,0,5.15,5.31,1.18
6,2.01,0.29,2.74,-2.48,0.48,3.04,1.14,-0.02,-0.08,2.71,8.82,0.69
6,-0.26,0.07,2.18,0.89,-0.1,2.03,1.08,0.01,0.06,-2.34,12.69,-0.69
6,-0.81,-0.62,1.48,1.72,-1.43,0.98,0.98,-0.01,0.31,-2.6,9.63,-2.8
6,-0.32,-0.87,0.76,0.15,-0.63,0.73,0.9,-0.01,0.36,-3.22,1.48,-5.45
6,-0.28,-0.94,0.15,0.26,-1.1,-0.01,0.89,-0.01,0.3,-4.18,-5.04,-6.18
6,0.08,-0.85,0.02,-0.28,-0.97,-0.2,0.97,-0.03,0.21,-3.47,-7.46,-4.35
6,0.41,-0.73,0.02,-0.11,-0.85,-0.1,1.03,-0.04,0.22,-2.55,-8.11,-2.3
6,0.52,-0.69,-0.09,-0.32,-0.73,-0.22,1.03,-0.05,0.25,-2.03,-8.4,-0.67
6,0.39,-0.66,-0.23,-0.35,-0.69,-0.4,1.03,-0.05,0.21,-0.17,-8.94,-0.24
6,0.47,-0.6,-0.18,-0.23,-0.66,-0.31,1.01,-0.03,0.19,1.02,-7.09,-0.59
6,0.48,-0.54,-0.09,-0.22,-0.57,-0.13,1,-0.02,0.2,1.4,-4.79,-1.33
6,0.44,-0.57,0,-0.39,-0.63,0,0.98,-0.01,0.16,0.89,-3.52,-1.03
6,0.48,-0.56,0.24,-0.41,-0.65,0.22,1.01,-0.02,0.15,0.04,-3.01,-0.79
6,0.42,-0.69,0.39,-0.28,-0.76,0.34,1.02,-0.01,0.18,-0.07,-3.85,-0.34
6,0.36,-0.78,0.64,-0.17,-0.93,0.46,1.05,0,0.15,-0.66,-3.79,0.15
6,0.29,-0.85,0.88,0.04,-0.99,0.85,1.08,-0.01,0.12,-0.32,-4.24,1.08
6,-0.14,-1.05,0.68,0.14,-1.09,1.01,1.1,-0.03,0.1,1.66,-4.27,1.78
6,-0.63,-1.27,0.21,0.33,-1.21,0.8,1.09,0.02,0.08,2.19,-4.47,2.34
6,-0.99,-1.33,-0.04,0.84,-1.18,0.61,1.11,0,0.05,0.85,-3.87,2.2
6,-1.77,-1.18,0.11,0.94,-1.24,0.31,1.11,0,0.05,0.3,-2.71,1.85
6,-1.64,-1,0.42,0.97,-1.09,0.33,1.09,0,0.07,-0.36,-1.76,1.83
6,-0.91,-0.76,0.52,0.94,-0.97,0.33,1.06,-0.01,0.1,-0.55,-1.04,1.36
6,-0.39,-0.62,0.52,0.78,-0.85,0.34,1.04,-0.02,0.13,-1.75,-1.01,0.92
6,0.11,-0.5,0.58,0.58,-0.66,0.3,1.02,-0.04,0.14,-1.4,-1.92,0.89
6,0.32,-0.45,0.54,0.39,-0.6,0.3,1.01,-0.04,0.14,-0.83,-2.72,1.18
6,0.45,-0.32,0.65,0.27,-0.48,0.48,1.01,-0.06,0.16,-0.53,-3.36,1.24
6,0.42,-0.29,0.7,-0.07,-0.44,0.57,1.02,-0.08,0.13,1,-1.93,1.25
6,0.3,-0.25,0.65,-0.32,-0.36,0.67,1.01,-0.05,0.13,1.93,-0.68,0.98
6,0.3,-0.13,0.82,-0.33,-0.2,0.98,1.01,-0.01,0.13,1.69,0.86,1.76
6,0.42,-0.13,0.86,-0.32,-0.2,1.08,1.01,-0.01,0.14,0.42,1.92,2.24
6,0.45,-0.11,0.89,-0.19,-0.25,1.08,1.03,-0.03,0.13,0.18,3.63,2.45
6,0.54,-0.16,0.89,0.02,-0.35,1.02,1.05,-0.06,0.13,1.89,5.46,1.03
6,0.42,-0.22,0.8,0.23,-0.39,0.98,1.06,-0.06,0.13,4.88,5.71,-0.53
