FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
9,0.02,1.26,0.17,0.51,1.24,-0.12,0.35,0.01,1.06,-46.82,15.25,-138.75
9,0.05,1.25,0.15,0.51,1.24,-0.13,0.32,0.05,1.1,-48.27,7.07,-139.16
9,0.01,1.24,0.12,0.47,1.25,-0.16,0.31,0.13,1.15,-49.9,-0.73,-139.56
9,0.09,1.26,0.17,0.54,1.34,-0.2,0.3,0.2,1.17,-50.9,-5.92,-139.65
9,0.04,1.25,0.17,0.54,1.32,-0.28,0.28,0.24,1.18,-51.95,-12.25,-139.06
9,0.01,1.31,0.21,0.63,1.41,-0.23,0.28,0.33,1.24,-54.28,-20.44,-137.32
9,0.02,1.29,0.18,0.61,1.38,-0.26,0.28,0.4,1.2,-59.31,-28.01,-136.66
9,-0.05,1.32,0.12,0.58,1.37,-0.32,0.32,0.44,1.19,-63.9,-32.44,-136.61
9,0.02,1.38,0.09,0.63,1.4,-0.34,0.34,0.47,1.19,-71.11,-40.35,-138.37
9,-0.08,1.38,0.05,0.66,1.38,-0.37,0.38,0.42,1.15,-74.24,-45.24,-139.64
9,-0.02,1.5,0.02,0.7,1.4,-0.34,0.42,0.45,1.14,-75.82,-48.22,-139.69
9,-0.02,1.56,0,0.72,1.4,-0.35,0.47,0.45,1.14,-78.73,-49.98,-139.59
9,-0.01,1.58,-0.07,0.69,1.34,-0.37,0.52,0.49,1.11,-82.62,-50.68,-138.17
9,-0.05,1.59,-0.13,0.72,1.32,-0.38,0.52,0.47,1.11,-86.79,-50.97,-136.32
9,0.01,1.69,-0.13,0.76,1.28,-0.34,0.52,0.49,1.09,-90.02,-51.8,-134.11
9,0.04,1.69,-0.18,0.87,1.29,-0.32,0.57,0.5,1.07,-93.44,-51.17,-132.76
9,0.01,1.65,-0.2,0.88,1.19,-0.35,0.6,0.48,1.02,-96.85,-51.63,-130.37
9,0.07,1.71,-0.16,0.92,1.21,-0.25,0.66,0.47,0.97,-101.25,-49.9,-126.39
9,0.05,1.68,-0.15,0.92,1.16,-0.23,0.67,0.42,0.91,-103.2,-48.41,-122.98
9,-0.01,1.62,-0.19,0.85,1.07,-0.22,0.67,0.4,0.89,-105.97,-45.12,-119.85
9,0.02,1.61,-0.15,0.88,1.07,-0.19,0.72,0.35,0.85,-105.89,-41.65,-115.83
9,-0.04,1.55,-0.13,0.87,1.04,-0.18,0.74,0.32,0.83,-106.49,-40.78,-112.19
9,-0.16,1.5,-0.13,0.82,1.01,-0.2,0.76,0.27,0.82,-105.18,-39.27,-110.4
9,-0.13,1.5,-0.06,0.85,1.04,-0.12,0.78,0.27,0.8,-105.61,-37.9,-109.27
9,-0.19,1.41,-0.03,0.82,1.01,-0.09,0.87,0.26,0.73,-103.1,-34.41,-108.36
9,-0.25,1.31,-0.04,0.75,0.97,-0.1,0.89,0.22,0.74,-101.31,-30.93,-109.14
9,-0.25,1.24,0.02,0.73,0.98,-0.12,0.87,0.21,0.72,-97.89,-28.82,-111.34
9,-0.22,1.22,0.06,0.73,1.03,-0.09,0.82,0.25,0.72,-98.66,-29.19,-113.21
9,-0.26,1.07,0.03,0.69,0.98,-0.16,0.77,0.29,0.74,-102.18,-30.28,-114.56
9,-0.25,1.01,0.08,0.72,1.04,-0.12,0.68,0.31,0.73,-107.44,-34.97,-115.73
9,-0.3,0.91,0.06,0.69,1.09,-0.13,0.28,0.37,0.98,-113.71,-46.77,-117.97
9,-0.38,0.84,0.02,0.58,1.13,-0.16,0.56,0.34,0.75,-119.52,-50.17,-121.01
9,-0.36,0.88,0.03,0.57,1.19,-0.18,0.59,0.31,0.77,-127.14,-58.79,-127
9,-0.54,0.85,-0.06,0.48,1.13,-0.2,0.68,0.34,0.69,-135.68,-67.62,-137.06
9,-0.6,0.92,-0.1,0.42,1.25,-0.19,1.22,0.2,0.73,-146.96,-55.22,-141.98
9,-0.59,1.13,-0.07,0.57,1.34,-0.28,1.09,-0.17,1.15,-139.62,-24.07,-142.25
9,-0.76,1.18,-0.22,0.51,1.22,-0.44,0.71,0.14,1.01,-170.92,-34.28,-129.02
9,-0.9,1.44,-0.23,0.54,1.4,-0.41,0.69,-0.03,0.99,-174.72,-50.12,-128.3
9,-1.12,1.71,-0.26,0.58,1.65,-0.4,0.82,-0.02,1.04,-176.07,-52.69,-145.39
9,-1.25,1.75,-0.31,0.57,1.65,-0.46,0.92,-0.12,0.82,-184.98,-54.3,-158.52
9,-1.16,1.74,-0.31,0.55,1.58,-0.38,0.81,0.05,0.73,-199.35,-58,-154.93
9,-1.02,1.5,-0.44,0.58,1.47,-0.31,0.77,0.02,0.67,-225.09,-62.38,-144.53
9,-0.85,1.26,-0.52,0.49,1.4,-0.22,0.82,-0.21,0.61,-242.24,-65.4,-141.57
9,-0.81,1.21,-0.44,0.52,1.5,-0.03,0.87,-0.36,0.58,-239.8,-67.42,-147.15
9,-1.03,1.15,-0.34,0.6,1.5,0.09,0.84,-0.3,0.48,-238.62,-68.31,-152.44
9,-1.15,1.26,-0.2,0.57,1.49,0.17,0.84,-0.24,0.39,-244.1,-70,-152.95
9,-1.25,1.25,-0.23,0.54,1.41,0.15,0.89,-0.18,0.35,-250.1,-71.4,-151.84
9,-1.25,1.22,-0.31,0.51,1.38,0.18,0.93,-0.15,0.3,-250.14,-70.72,-152.15
9,-1.28,1.19,-0.41,0.45,1.32,0.18,0.95,-0.14,0.24,-250.14,-68.84,-153.2
9,-1.22,1.32,-0.4,0.6,1.47,0.25,1,-0.21,0.21,-250.14,-63.95,-151.95
9,-1.22,1.37,-0.41,0.67,1.47,0.22,0.97,-0.26,0.19,-250.14,-59.16,-148.35
9,-1.24,1.4,-0.37,0.73,1.44,0.17,0.97,-0.28,0.22,-250.14,-55.39,-142.23
9,-1.24,1.44,-0.32,0.73,1.43,0.15,0.95,-0.26,0.25,-250.14,-52.82,-134.82
9,-1.22,1.38,-0.35,0.73,1.34,0.11,0.95,-0.22,0.26,-246.02,-49.3,-127.21
9,-1.28,1.37,-0.35,0.88,1.29,0.11,1,-0.25,0.23,-237.44,-45.42,-121.1
9,-1.21,1.38,-0.29,0.97,1.28,0.09,1.04,-0.24,0.19,-224.32,-42.34,-114.2
9,-1.16,1.41,-0.2,1.06,1.22,0.02,1.07,-0.2,0.16,-214.28,-37.27,-104.93
9,-1.15,1.29,-0.19,1.07,1.1,-0.03,1.05,-0.17,0.16,-209.09,-31.15,-96.21
9,-1.18,1.26,-0.12,1.13,0.97,0.03,1.05,-0.14,0.14,-208.07,-27.1,-86.38
9,-1.19,1.21,-0.1,1.31,0.91,0.08,1.03,-0.16,0.11,-205.4,-23.18,-79.17
9,-1.13,1.16,-0.15,1.19,0.75,0,1,-0.25,0.12,-199.57,-18.39,-74.9
9,-1.18,1.03,-0.2,1.18,0.52,-0.04,1.08,-0.24,0.15,-192.05,-13.47,-69.77
9,-1.06,1.03,-0.16,1.28,0.41,-0.01,1.1,-0.1,0.15,-184.77,-7.42,-61.04
9,-0.97,0.95,-0.13,1.19,0.32,-0.04,1.16,-0.04,0.14,-183.62,-2.5,-52.92
9,-0.96,0.82,-0.13,1.24,0.02,-0.07,1.19,-0.04,0.16,-185.08,0.09,-51.27
9,-0.94,0.75,-0.1,1.28,-0.11,-0.03,1.22,-0.01,0.21,-184.46,2.88,-53.6
9,-0.94,0.63,-0.09,1.26,-0.19,-0.06,1.19,-0.02,0.2,-181.03,6.21,-56.17
9,-0.94,0.6,0,1.4,-0.28,-0.1,1.07,-0.08,0.23,-175.53,4.69,-55.8
9,-0.88,0.55,0.05,1.12,-0.45,-0.18,0.92,-0.11,0.25,-166.59,2.17,-49.9
9,-0.87,0.52,0.14,0.92,-0.54,-0.13,0.85,-0.1,0.24,-160.85,-4.24,-43.3
9,-0.87,0.47,0.2,0.75,-0.62,-0.04,0.81,-0.09,0.23,-153.52,-7.57,-38.25
9,-0.87,0.48,0.33,0.73,-0.63,-0.15,0.86,-0.06,0.22,-144.53,-9.75,-36.92
9,-0.91,0.44,0.39,0.6,-0.69,-0.18,0.9,0.02,0.2,-139.4,-10.16,-37.34
9,-0.88,0.42,0.43,0.49,-0.72,-0.19,0.99,0.07,0.17,-137.5,-6.06,-37.97
9,-0.81,0.39,0.46,0.48,-0.69,-0.13,1.05,0.09,0.17,-134.68,-0.85,-39.84
9,-0.93,0.33,0.39,0.48,-0.72,-0.15,1.07,0.1,0.24,-132.79,1.79,-42
9,-0.9,0.35,0.52,0.52,-0.69,-0.15,1.09,0.12,0.23,-131,1.59,-43.42
9,-0.81,0.2,0.6,0.47,-0.73,-0.23,1.14,0.04,0.26,-126.63,1.53,-43.89
9,-0.81,0.14,0.54,0.41,-0.79,-0.37,1.15,0.02,0.27,-119.67,0.3,-43.06
9,-0.96,0.27,0.43,0.36,-0.63,-0.23,1.07,0.05,0.33,-113.11,-0.86,-39.4
9,-1.87,4.26,4.3,1.8,4.05,3.9,1.05,0.05,0.29,-109.25,0.3,-33.91
9,0.76,0.17,0,-0.22,-0.7,1.05,1.06,-0.02,0.09,-104.04,13.17,-26.74
9,-0.22,-0.54,0.52,0.79,-0.88,0.7,1.01,-0.27,0.41,-79.64,16.11,-20.24
9,0.02,0.55,1.14,0.52,-0.79,0.67,0.84,-0.16,0.55,-58.92,9.07,-18.4
9,-0.44,-0.04,0.99,0.54,-0.82,0.58,0.78,-0.01,0.51,-51.79,2.76,-14.95
9,-0.19,-0.02,1.14,0.3,-0.53,0.71,0.9,0.04,0.5,-40.69,0.19,-9.89
9,-0.81,0.14,1.08,0.24,-0.39,0.86,0.99,0.04,0.47,-32.31,0.89,-5.56
9,-0.7,0.26,1.02,0.38,-0.26,0.92,1.01,0,0.42,-22.02,3.53,-3.77
9,-0.3,0.27,0.94,0.47,-0.16,0.77,0.97,0.03,0.41,-14.6,2.94,-3
9,-0.29,0.23,0.95,0.3,-0.13,0.64,0.97,0.03,0.34,-10.13,4.4,-2.78
9,-0.35,0.38,0.91,0.55,-0.16,0.48,0.99,-0.01,0.35,-5.54,3.72,-2.6
9,-0.05,0.33,0.83,0.58,-0.11,0.45,1,-0.03,0.33,3.32,2.19,-1.22
9,-0.01,0.27,0.67,0.48,-0.1,0.42,1.01,0.01,0.32,11.28,2.63,1.76
9,-0.1,0.41,0.6,0.47,0.04,0.51,1.04,0.02,0.34,16.38,6.09,4.09
9,-0.22,0.49,0.49,0.52,0.12,0.54,1.08,0.03,0.33,20.1,10.2,4.39
9,-0.1,0.38,0.45,0.61,0.18,0.61,1.1,0.05,0.31,21.39,14.8,4.78
9,0.02,0.39,0.42,0.82,0.33,0.65,1.03,0.04,0.31,21.98,17.76,6.38
9,0.08,0.42,0.25,0.79,0.26,0.52,0.98,0,0.34,23.42,17.9,7.96
9,-0.38,0.7,0.25,0.76,0.29,0.43,0.97,-0.01,0.38,27.4,17.44,9.69
9,-0.69,0.94,0.21,1.04,0.41,0.49,1.01,0.03,0.35,30.77,19.21,11.38
9,-0.63,1.09,0.17,1.1,0.48,0.43,1.02,0.08,0.34,33.42,22.17,13.86
9,-0.29,1.13,0.24,0.97,0.6,0.34,0.97,0.06,0.4,37.5,22.47,16.69
9,-0.02,1.29,0.18,1.32,0.7,0.36,0.95,0.08,0.42,40.53,18.69,19.02
9,-0.04,1.64,0.25,1.53,0.95,0.39,0.97,0.06,0.4,45.75,16.84,20.52
9,0.08,1.99,0.31,1.19,1.13,0.49,1.02,0.08,0.34,50.91,18.08,22.91
9,0.05,2.14,0.27,0.84,1.09,0.45,0.99,0.11,0.4,56.84,19.54,25.89
9,0.05,2.44,0.31,1.03,1.21,0.49,0.94,0.16,0.4,59.47,20.9,29.72
9,-0.11,2.54,0.28,1.12,1.22,0.51,0.88,0.19,0.41,61.08,19.78,33.57
9,-0.32,2.49,0.28,0.97,1.24,0.55,0.87,0.21,0.39,62.79,19.75,39.08
9,-0.36,2.41,0.33,0.92,1.37,0.62,0.88,0.2,0.42,64.35,20.16,45.53
9,-0.38,2.11,0.25,0.94,1.44,0.61,0.88,0.14,0.45,69.09,20.34,50.85
9,-0.32,1.87,0.15,1.09,1.46,0.57,0.85,0.14,0.48,76.62,18.05,54.53
9,-0.19,1.74,0.21,1.24,1.52,0.62,0.88,0.1,0.49,83.6,16.74,57.47
9,-0.08,1.58,0.18,1.09,1.43,0.57,0.9,0.11,0.48,92.18,15.85,60.58
9,0.02,1.59,0.25,1.07,1.44,0.55,0.92,0.14,0.46,100.6,16.92,65.08
9,-0.02,1.52,0.24,0.95,1.4,0.48,0.89,0.15,0.5,107.66,19.4,71.24
