FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
7,-0.82,2.66,-0.78,1.29,3.81,-0.2,2,-0.29,0.74,-23.54,74.21,-27.11
7,-0.88,2.58,-0.75,1.21,3.47,-0.04,1.35,-0.61,0.85,3.43,35.11,-24.64
7,-0.62,2.33,-0.65,0.76,2.6,-0.01,1.84,-0.24,1.29,27.33,18.04,-22.58
7,0.05,2.52,-0.5,0.57,2.6,0.17,2,-0.19,0.99,7.88,16.16,-13.79
7,0.04,2.54,-0.47,0.54,2.58,0.51,1.79,-0.02,0.86,16.57,13.21,-5.02
7,-0.33,2.26,-0.38,0.52,2.44,0.95,1.37,0.16,1.03,35.23,-3.79,-0.31
7,-0.56,1.95,-0.18,0.81,2.33,1.07,1.57,0.23,0.54,3.6,-18.11,1.51
7,-0.45,1.75,0,0.79,1.65,0.58,1.61,0.05,0.36,-2.37,-20.17,-3.14
7,-0.22,1.69,0.14,0.69,1.62,0.33,1.42,-0.05,0.35,11.92,-16.15,-8.82
7,-0.11,1.52,0.06,0.61,1.43,0.12,1.04,0,0.37,23.6,-12.39,-12.73
7,-0.08,1.22,-0.03,0.47,1.06,0,0.75,0.09,0.36,19.11,-20.07,-10.07
7,0.02,1.06,0,0.45,0.91,0.02,0.64,0.14,0.23,7.21,-22.34,-3.89
7,0.05,0.92,0.02,0.51,0.78,0.06,0.57,0.16,0.17,0.24,-28.63,0.82
7,-0.01,0.66,0.02,0.48,0.66,-0.04,0.46,0.21,0.11,-1.03,-24.03,7.3
7,0.09,0.6,0.11,0.45,0.75,0.02,0.39,0.17,0.14,-9.14,-13.49,12.29
7,0.21,0.64,0.12,0.42,0.72,0.05,0.41,0.05,0.14,-16.76,-7.83,14.66
7,0.29,0.64,0.11,0.42,0.67,0.03,0.47,-0.04,0.17,-21.84,-0.62,15.55
7,0.29,0.69,0.09,0.41,0.75,0.05,0.62,-0.16,0.21,-22.2,6.5,15.67
7,0.29,0.78,0.08,0.35,0.78,0,0.87,-0.21,0.21,-21.75,11.68,15.07
7,0.32,0.84,0,0.29,0.81,-0.01,1.24,-0.27,0.2,-19.34,19.95,12.79
7,0.27,1.13,-0.13,0.27,1.03,-0.12,1.35,-0.3,0.23,-10.96,30.56,6.12
7,0.23,1.43,-0.22,0.35,1.21,-0.07,1.09,-0.3,0.27,9,36.02,1.63
7,0.14,1.59,-0.34,0.36,1.19,-0.13,0.89,-0.17,0.33,21.08,32.8,-3.17
7,0.12,1.77,-0.19,0.44,1.24,-0.01,0.83,-0.06,0.35,9.56,27.13,-4.15
7,0.12,1.55,-0.13,0.54,1.19,0.18,0.78,-0.1,0.27,2.82,23.79,-3.34
7,0.08,1.22,-0.06,0.48,0.94,0.28,0.72,-0.08,0.25,1.83,22.6,-3.53
7,0.07,0.95,0.05,0.54,0.84,0.37,0.69,-0.06,0.16,0.42,22.84,-3.28
