FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
2,-0.3,-0.07,-0.01,0.14,-0.22,-0.03,-0.12,-0.1,-0.04,-6.98,28.98,7.02
2,-0.28,0.14,-0.01,0.39,0.15,-0.03,-0.24,-0.13,-0.05,5.05,42.11,6.35
2,-0.22,0.29,-0.03,0.35,0.21,0.08,-0.38,-0.17,0.07,0.95,48.11,2.8
2,-0.11,0.27,0,0.24,0.24,0.15,-0.34,-0.08,0.16,5.69,28.79,2.08
2,-0.02,0.27,0.06,0.21,0.29,0.12,-0.33,-0.02,0.12,6.02,16.47,2.76
2,0.04,0.3,0.08,0.17,0.27,0.11,-0.13,-0.04,0.1,2.78,9.69,1.55
2,0.08,0.27,0.11,0.24,0.3,0.09,-0.28,-0.03,0.25,10.59,-5.98,0.21
2,0.15,0.15,0.08,0.2,0.2,0.14,-0.1,-0.13,-0.02,6.37,-20.83,-1.27
2,0.18,0.09,0.12,0.14,0.26,0.22,0.02,-0.05,0,10.27,-18.5,0.2
2,0.12,0.09,0.14,0.14,0.2,0.17,0.18,0.02,-0.08,12.56,-14.36,0.18
2,0.05,0.17,0.15,0.08,0.24,0.12,0.27,-0.01,-0.05,11.79,1.2,1.38
2,0.05,0.38,0.2,0.18,0.33,0.06,0.37,-0.01,-0.02,13.24,18.21,2.37
2,0.14,0.76,0.22,0.3,0.66,0.03,0.58,0.06,0.21,12.63,35.66,3.85
2,0.24,1.41,0.21,0.47,1.12,0.11,0.98,0.06,0.69,8.22,56.57,-0.39
2,0.33,1.93,0.06,0.58,1.69,0.22,1.45,0.31,0.9,8.13,52.57,0.79
2,0.39,2.48,-0.01,0.66,2.29,0.4,2,0.28,1.05,-4.68,18.43,0.04
2,0.41,3.06,0.05,0.72,2.86,0.48,2,0.09,1.01,-4.51,9.97,-4.85
2,0.48,3.25,0.11,0.52,2.91,0.49,2,0.19,1.17,1.68,48.46,-2.84
2,0.58,3.09,0.15,0.39,2.83,0.51,2,0.07,1.73,3.88,47.63,3.44
2,0.64,3.21,0.12,0.17,3.26,0.28,2,0.05,1.73,7.18,18.02,2.78
2,0.82,3.96,0.18,0.07,3.96,0.22,2,0.34,1.61,7.76,-5.59,1.26
2,0.92,4.2,0.09,0.23,4.29,0.27,2,0.2,1.4,-0.1,-20.64,1.02
2,0.7,3.65,0.15,0.42,3.55,0.57,1.78,0.13,0.52,2.12,-45.69,-2.36
