FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
7,-0.3,1.19,0.21,0.57,1,0.49,1.03,0.02,0.24,1.05,1.99,-0.41
7,-0.32,1.16,0.2,0.58,0.98,0.46,1.02,0.02,0.24,0.79,2.86,-0.27
7,-0.3,1.16,0.2,0.57,1,0.48,1.03,0.02,0.24,0.13,3.47,-0.15
7,-0.29,1.19,0.22,0.63,1.04,0.52,1.03,0.02,0.24,-0.06,4.64,-0.22
7,-0.33,1.15,0.2,0.6,1,0.48,1.04,0.03,0.24,-0.71,5.05,-0.31
7,-0.3,1.21,0.24,0.64,1.07,0.55,1.03,0.03,0.24,-2.27,5.48,-0.21
7,-0.32,1.19,0.21,0.61,1.04,0.51,1.02,0.03,0.24,-2.91,5.58,-0.27
7,-0.33,1.16,0.18,0.6,1.03,0.49,1.02,0.02,0.25,-3.79,4.68,-0.4
7,-0.3,1.21,0.22,0.64,1.09,0.54,1.03,0,0.25,-4.15,4.31,-0.43
7,-0.32,1.16,0.18,0.58,1,0.49,1.02,0.01,0.26,-3.37,4.16,-0.19
7,-0.35,1.19,0.2,0.61,1,0.52,1.03,0.01,0.25,-2.98,3.85,0.05
7,-0.28,1.25,0.25,0.63,1.04,0.52,1.03,0,0.25,-2.67,3.7,0.36
7,-0.33,1.18,0.17,0.58,1,0.48,1.03,0,0.25,-2.15,4.09,0.1
7,-0.32,1.19,0.17,0.6,1,0.48,1.03,0.02,0.26,-1.82,3.96,0.06
7,-0.29,1.24,0.22,0.63,1.06,0.55,1.03,0.01,0.25,-1.91,4.65,-0.34
7,-0.33,1.18,0.17,0.57,0.98,0.49,1.03,0.01,0.26,-1.64,4.56,-0.74
7,-0.3,1.19,0.2,0.61,1.03,0.51,1.02,0.03,0.25,-1.51,4.52,-0.82
7,-0.3,1.21,0.21,0.63,1.04,0.52,1.02,0.03,0.26,-2.02,4.72,-0.69
7,-0.35,1.19,0.2,0.61,1.04,0.52,1.03,0.03,0.26,-2.37,5.32,-0.56
7,-0.33,1.16,0.15,0.58,1.01,0.49,1.03,0.03,0.27,-2.59,5.95,-0.45
7,-0.3,1.22,0.2,0.61,1.04,0.52,1.02,0.02,0.27,-2.61,6.27,-0.34
7,-0.32,1.21,0.18,0.63,1.03,0.51,1.02,0.02,0.27,-2.77,6.56,-0.5
7,-0.35,1.21,0.17,0.61,1.01,0.48,1.02,0.02,0.26,-3.08,6.7,-0.63
7,-0.32,1.24,0.22,0.66,1.03,0.51,1.03,0.02,0.27,-3.57,7.69,-0.82
7,-0.36,1.21,0.2,0.64,1.03,0.48,1.04,0.02,0.26,-3.63,8.98,-0.65
7,-0.33,1.21,0.2,0.64,1.04,0.46,1.08,0.02,0.28,-4.34,10.65,0.03
7,-0.32,1.25,0.22,0.66,1.06,0.45,1.09,0.02,0.3,-5.32,11.62,0.69
7,-0.35,1.25,0.2,0.63,1.01,0.42,1.1,0.03,0.31,-6.26,12.45,1.14
