FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
9,-0.01,1.26,0.24,0.32,1.18,0.31,1.03,-0.03,0.22,1.41,-0.44,-0.33
9,-0.04,1.26,0.21,0.29,1.16,0.3,1.03,-0.03,0.21,1.65,0.01,-0.34
9,-0.02,1.26,0.21,0.27,1.16,0.3,1.03,-0.02,0.21,1.56,0.51,-0.19
9,0.01,1.29,0.24,0.33,1.21,0.34,1.04,-0.03,0.21,1.39,0.8,-0.2
9,-0.02,1.25,0.2,0.27,1.16,0.3,1.04,-0.03,0.21,1.55,1.45,-0.27
9,0.04,1.28,0.22,0.3,1.19,0.33,1.04,-0.02,0.2,1.29,2.43,-0.23
9,-0.01,1.28,0.24,0.32,1.19,0.33,1.03,-0.02,0.2,0.54,2.73,0.02
9,-0.02,1.24,0.22,0.29,1.18,0.33,1.03,-0.03,0.24,1.25,2.26,0.42
9,0.05,1.32,0.28,0.35,1.24,0.37,1.02,-0.01,0.22,0.49,2.01,0.73
9,-0.01,1.28,0.25,0.3,1.19,0.34,1.03,-0.02,0.24,1.11,1.79,0.95
9,-0.02,1.26,0.22,0.29,1.19,0.34,1.03,0,0.23,0.98,2.23,1.23
9,0.01,1.31,0.27,0.33,1.22,0.37,1.03,-0.04,0.21,0.19,2.7,1.15
9,0.02,1.31,0.24,0.3,1.19,0.34,1.04,-0.04,0.21,1.79,3.02,0.73
9,-0.01,1.29,0.22,0.3,1.19,0.33,1.03,-0.03,0.2,1.75,3.32,0.73
9,-0.05,1.22,0.17,0.24,1.12,0.28,1.03,-0.03,0.22,1.51,3.25,0.11
9,0.01,1.29,0.24,0.32,1.19,0.34,1.03,-0.03,0.24,1.59,2.58,0.23
9,0.01,1.29,0.24,0.3,1.19,0.34,1.02,-0.02,0.24,1.71,1.89,0.11
9,-0.02,1.26,0.22,0.29,1.16,0.33,1.02,-0.02,0.25,1.41,0.99,0.18
9,0.01,1.29,0.25,0.35,1.25,0.39,1.01,-0.02,0.25,1.41,0.39,0.29
