FID,x0,y0,z0,x1,y1,z1,AcX,AcY,AcZ,GyX,GyY,GyZ
10,0.01,1.31,0.24,0.33,1.22,0.37,1.04,-0.04,0.21,-1.15,1,0.92
10,-0.02,1.24,0.18,0.27,1.16,0.31,1.03,-0.03,0.21,-0.5,1.07,0.98
10,-0.04,1.24,0.18,0.27,1.16,0.3,1.02,-0.03,0.19,-1.4,1.92,1.02
10,-0.01,1.26,0.21,0.3,1.19,0.36,1.04,-0.05,0.22,-1.22,1.68,1.01
10,-0.04,1.25,0.17,0.29,1.16,0.3,1.04,-0.03,0.21,0.02,1.82,1.45
10,0.02,1.29,0.25,0.32,1.21,0.34,1.04,-0.05,0.22,-0.4,1.5,1.68
10,-0.02,1.29,0.22,0.3,1.19,0.34,1.02,-0.06,0.23,1.01,1.02,1.31
10,-0.04,1.26,0.2,0.3,1.16,0.3,1.02,-0.06,0.21,2.28,0.47,1.21
10,0.04,1.32,0.25,0.33,1.19,0.34,1.01,-0.05,0.22,2.32,-0.27,0.82
10,-0.02,1.24,0.18,0.27,1.13,0.28,1.02,-0.05,0.21,2.85,-0.58,0.73
10,0.01,1.28,0.21,0.35,1.19,0.34,1.03,-0.05,0.22,3.66,-0.82,0.69
10,-0.04,1.24,0.2,0.32,1.18,0.34,1.03,-0.04,0.22,4.53,-0.44,0.68
10,0.02,1.28,0.18,0.27,1.13,0.31,1.04,-0.04,0.22,5.14,-0.06,0.5
10,0.01,1.31,0.21,0.3,1.18,0.36,1.03,-0.04,0.21,5.37,-0.25,0.31
10,-0.04,1.28,0.18,0.27,1.15,0.3,1.04,-0.03,0.2,5.5,-0.31,0.4
10,0.04,1.32,0.21,0.3,1.21,0.36,1.03,-0.04,0.2,6.08,-0.74,0.37
10,-0.04,1.26,0.2,0.29,1.15,0.31,1.03,-0.04,0.21,6.6,-1.08,0.64
10,0.02,1.32,0.24,0.32,1.21,0.37,1.03,-0.03,0.2,6.54,-1.34,0.44
10,0.01,1.28,0.21,0.29,1.18,0.34,1.01,-0.03,0.21,6.76,-1.92,0.53
10,-0.02,1.24,0.18,0.27,1.13,0.31,1,-0.03,0.2,6.99,-3.05,0.52
10,0.04,1.29,0.22,0.3,1.18,0.37,1,-0.03,0.21,7.03,-3.97,0.89
10,-0.02,1.24,0.2,0.27,1.13,0.33,1.02,-0.03,0.22,7.76,-4.77,1.5
10,-0.01,1.28,0.21,0.29,1.18,0.36,1.03,-0.03,0.22,8.11,-3.67,1.25
10,-0.01,1.28,0.21,0.3,1.19,0.34,1.05,-0.04,0.18,6.77,-3.41,1.09
10,-0.02,1.25,0.18,0.27,1.18,0.31,1.06,-0.05,0.21,5.89,-2.82,1.03
10,0.01,1.32,0.21,0.3,1.22,0.37,1.06,-0.03,0.21,7.82,-1.69,1.21
10,-0.04,1.28,0.2,0.27,1.22,0.34,1.04,-0.02,0.21,6.87,-2.6,1.4
10,-0.02,1.29,0.24,0.3,1.22,0.39,1.04,-0.05,0.21,6.07,-2.92,0.91
10,-0.02,1.29,0.24,0.3,1.19,0.34,1.04,-0.05,0.21,6.74,-3.32,0.49
10,-0.04,1.25,0.21,0.29,1.15,0.31,1.04,-0.04,0.21,7.29,-3.27,0.39
10,-0.01,1.32,0.28,0.36,1.22,0.37,1.04,-0.03,0.21,7.15,-2.37,0.15
10,-0.04,1.25,0.2,0.27,1.15,0.31,1.04,-0.02,0.2,6.92,-1.44,0.21
10,0.04,1.31,0.24,0.32,1.19,0.37,1.03,-0.02,0.2,6.52,-0.83,0.29
10,0.02,1.29,0.22,0.3,1.18,0.36,1.04,-0.03,0.2,5.9,-0.3,0.35
10,-0.01,1.26,0.21,0.27,1.15,0.33,1.03,-0.02,0.2,5.26,0.37,0.29
10,0.04,1.34,0.28,0.35,1.21,0.37,1.03,-0.02,0.2,4.27,0.31,0.18
10,0.01,1.29,0.24,0.3,1.21,0.36,1.03,-0.03,0.19,4.02,0.18,0.23
10,-0.02,1.26,0.22,0.27,1.18,0.33,1.03,-0.02,0.2,3.47,-0.43,0.26
10,0.05,1.34,0.3,0.35,1.26,0.4,1.03,-0.02,0.2,1.52,-1.01,0.34
10,0.01,1.28,0.22,0.29,1.18,0.34,1.03,-0.03,0.19,0.8,-1.02,0.69
10,0.01,1.31,0.28,0.33,1.24,0.39,1.03,-0.01,0.19,-0.53,-0.45,0.96
10,0.02,1.31,0.27,0.35,1.24,0.39,1.03,0,0.17,-2.15,-0.18,1.52
10,-0.01,1.26,0.22,0.3,1.22,0.36,1.03,0.01,0.17,-4.5,0.35,2.7
10,0.01,1.28,0.24,0.33,1.28,0.4,1.03,0.02,0.17,-7.87,0.89,4.2
10,-0.01,1.24,0.2,0.29,1.25,0.37,1.04,-0.02,0.17,-10.89,1.37,5.58
10,0.01,1.26,0.22,0.3,1.28,0.42,1.05,-0.04,0.22,-11.4,3.04,5.95
10,-0.04,1.25,0.21,0.27,1.25,0.37,1.04,-0.04,0.22,-11.22,3.32,5.58
10,-0.02,1.29,0.24,0.27,1.24,0.37,1.03,-0.06,0.22,-10.6,2.78,4.94
10,-0.01,1.35,0.25,0.3,1.25,0.4,0.99,-0.06,0.25,-8.07,1.68,3.96
10,-0.02,1.32,0.21,0.27,1.18,0.36,1.02,-0.07,0.23,-5.05,1.32,3.27
10,0.02,1.37,0.25,0.33,1.21,0.39,1.03,-0.06,0.23,-3.67,0.24,2.42
10,-0.01,1.37,0.22,0.3,1.15,0.33,1.03,-0.06,0.23,-2.95,-0.53,1.75
10,-0.01,1.29,0.18,0.27,1.1,0.31,1.02,-0.05,0.23,-2.54,-0.56,1.13
10,0.04,1.35,0.22,0.3,1.13,0.34,1.03,-0.06,0.22,-1.8,-0.6,0.56
10,-0.02,1.31,0.22,0.33,1.15,0.34,1.04,-0.06,0.22,-0.87,-0.31,0.13
10,-0.02,1.29,0.18,0.27,1.12,0.31,1.04,-0.07,0.22,-0.31,0.2,-0.22
10,-0.02,1.31,0.2,0.3,1.12,0.33,1.04,-0.06,0.23,0.86,1.04,-0.57
10,-0.05,1.31,0.17,0.32,1.13,0.3,1.03,-0.06,0.22,2.56,1.06,-0.56
10,-0.05,1.31,0.17,0.29,1.15,0.31,1.03,-0.07,0.22,3.06,0.25,-0.7
10,0.01,1.35,0.21,0.33,1.18,0.34,1.02,-0.06,0.22,4.57,0.08,-0.94
10,-0.02,1.28,0.18,0.3,1.15,0.33,1.03,-0.05,0.21,4.89,-0.44,-1.25
10,0.01,1.29,0.21,0.33,1.18,0.33,1.04,-0.05,0.2,6.12,0.14,-1.5
10,0.01,1.28,0.21,0.33,1.22,0.37,1.04,-0.05,0.21,7.05,0.76,-1.5
10,0.02,1.25,0.18,0.27,1.16,0.31,1.04,-0.04,0.2,7.46,1.25,-1.44
